Serial No,Field ID,Coordinates,Unnamed: 3,Au,Au Check,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,X,Y,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
1.0,RCH/012,494835,2136937,1.42,,1.33,0.05,13.8,1.21,<10,30,0.14,9.42,0.02,0.1,1.8,3.9,13,<0.05,97.1,2.83,0.6,<0.05,<0.02,<0.01,0.092,0.01,0.9,0.1,0.01,227,2.8,<0.01,0.08,9.7,100,202,0.3,0.001,0.01,0.37,1.7,0.5,0.3,5.3,<0.01,0.23,0.2,<0.005,<0.02,0.74,15,0.07,1.29,98,0.6
2.0,RCH/013,494893,2138609,0.04,,0.07,0.02,0.6,0.02,<10,40,0.07,2.34,0.1,0.02,1.24,0.7,8,<0.05,2,0.71,0.25,<0.05,<0.02,<0.01,<0.005,<0.01,0.6,0.1,0.01,293,8.12,<0.01,0.08,2.3,40,1.2,0.2,<0.001,0.01,0.1,0.1,<0.2,<0.2,2.5,<0.01,0.09,<0.2,<0.005,0.03,0.13,4,<0.05,0.62,5,<0.5
3.0,RCH/014,494858,2136676,1.18,,0.32,0.05,47.6,1.17,<10,20,0.25,1.17,0.02,0.09,1.95,7.8,13,<0.05,43.1,4.3,0.72,<0.05,<0.02,<0.01,0.136,0.01,0.7,0.1,0.01,459,3.67,<0.01,0.06,20.6,90,15.9,0.4,<0.001,0.01,0.21,1.6,1,0.3,5.1,<0.01,0.07,0.2,<0.005,<0.02,1.06,18,0.1,1.77,53,<0.5
4.0,RCH/015,494796,2137475,0.01,,0.01,0.19,0.4,<0.02,<10,50,<0.05,0.02,0.11,0.01,0.94,0.5,4,0.05,2.2,0.2,0.44,<0.05,<0.02,<0.01,<0.005,0.2,0.6,0.2,0.01,73,0.21,0.02,0.15,1.4,20,3.6,5.3,<0.001,<0.01,<0.05,0.1,<0.2,<0.2,7.5,<0.01,0.01,<0.2,<0.005,0.03,0.17,1,<0.05,0.86,<2,<0.5
5.0,RCH/016,494796,2137457,0.73,,0.46,0.2,121,0.66,<10,80,0.95,4.84,0.04,0.08,10.15,7,6,<0.05,116.5,13.3,5.39,0.1,0.03,<0.01,0.46,0.01,4.1,0.2,0.02,706,1.6,<0.01,0.33,11.3,60,27.9,0.5,<0.001,0.04,0.36,2.2,0.4,0.2,5.4,<0.01,0.17,0.2,<0.005,0.03,1.19,79,0.26,6.1,40,1
6.0,RCH/017,497468,2137595,0.83,,0.75,0.16,73.6,0.35,<10,60,0.63,17.8,0.04,0.05,8.66,6.6,10,<0.05,163.5,7.22,3.37,0.06,0.03,0.01,0.347,0.01,3.2,0.2,0.01,456,1.3,<0.01,0.16,10.6,50,25.7,0.7,<0.001,0.02,0.31,1.4,0.9,0.4,4.5,<0.01,0.55,0.3,<0.005,0.03,0.92,46,0.18,4.4,30,0.9
7.0,RCH/018,494746,2137645,<0.01,,0.01,0.21,3,<0.02,<10,40,0.29,0.41,0.08,0.04,81.7,2.1,51,<0.05,5.5,1.83,1.74,0.08,0.04,0.01,0.103,0.04,40.3,0.4,0.01,236,1.18,<0.01,1.21,24.9,130,2.4,2,<0.001,0.01,0.26,1.2,<0.2,0.6,5.7,<0.01,0.02,3.3,<0.005,0.02,1.52,6,0.06,13.05,28,1
8.0,RCH/019,494730,2137675,<0.01,,<0.01,0.02,0.4,<0.02,<10,10,<0.05,0.02,0.02,0.01,0.66,0.6,9,<0.05,3.7,0.53,0.16,<0.05,<0.02,<0.01,<0.005,0.01,0.2,0.1,<0.01,118,0.54,<0.01,0.75,2.6,10,0.6,0.5,<0.001,<0.01,0.06,0.1,<0.2,0.2,0.6,<0.01,0.01,<0.2,<0.005,<0.02,0.37,<1,<0.05,0.84,3,<0.5
9.0,RCH/020,494667,2137904,<0.01,,0.05,0.55,5.4,<0.02,10,150,2.61,0.2,0.2,0.11,47.9,25.5,49,0.12,51.7,6.97,3.49,0.13,0.1,<0.01,0.116,0.07,58.7,0.6,0.03,999,3.45,0.01,0.95,40.5,570,7.6,5.3,<0.001,0.02,0.48,19,<0.2,0.4,18.1,0.01,0.03,1.5,0.011,0.07,6.76,137,0.11,61.2,151,2
10.0,RCH/021,494656,2137956,<0.01,,0.03,0.18,1.4,<0.02,<10,60,0.22,0.12,0.1,0.03,7.25,2,9,0.05,3.8,0.97,0.99,<0.05,0.03,0.01,0.008,0.06,3.8,0.5,0.01,252,1.29,<0.01,0.76,5.5,70,1.3,3,<0.001,0.01,0.14,1,0.3,0.2,6.2,<0.01,0.01,2.1,<0.005,0.02,1.14,5,<0.05,6.75,30,1
11.0,RCH/022,494644,2137998,<0.01,,0.16,0.15,3.1,<0.02,<10,50,0.2,0.51,0.08,0.05,8.32,3.3,16,0.06,9.3,1.05,0.89,<0.05,0.03,0.01,0.039,0.04,3.3,0.3,0.01,445,1.03,<0.01,0.79,7.9,70,2.4,2.4,<0.001,0.01,0.12,1.5,<0.2,0.3,7.9,<0.01,0.04,1.8,<0.005,0.04,1.83,9,0.08,4.37,24,1
12.0,RCH/023,494493,2138506,0.01,,0.02,0.07,1.6,<0.02,<10,20,0.14,0.08,0.08,0.04,3.6,1.6,16,<0.05,4.8,1.07,0.56,<0.05,0.02,0.01,0.024,0.02,1.6,0.3,0.01,174,1.37,<0.01,0.32,7.4,50,1.5,1.5,<0.001,0.01,0.15,0.6,<0.2,0.3,3.2,<0.01,0.03,0.5,<0.005,<0.02,0.71,4,0.06,2.96,36,0.7
13.0,RCH/024,494476,2138530,10.25,,1.4,0.07,61.2,8.03,<10,140,0.39,1035,1.08,0.15,12.8,6.3,9,<0.05,10.7,9.63,0.74,<0.05,0.02,<0.01,0.5,0.02,6.7,0.8,0.02,1640,6.99,0.01,0.12,5.8,20,31.7,0.9,<0.001,0.05,1.3,1.3,6,<0.2,11.2,<0.01,2.57,0.4,<0.005,0.09,1.44,15,0.12,6.62,41,0.5
14.0,RCH/025,494459,2138581,0.01,,3.71,0.14,5.4,<0.02,<10,130,0.3,144,0.09,0.04,33.8,3.4,14,<0.05,698,1.72,1.33,0.05,0.05,0.01,0.251,0.04,19.9,0.4,0.01,431,4.98,<0.01,0.78,6.7,100,63.4,1.7,<0.001,0.03,0.74,1.4,1.7,0.6,11.1,<0.01,0.3,1.2,<0.005,0.04,1.66,17,0.06,9.39,27,1.4
15.0,RCH/026,494442,2138638,0.02,,57.6,0.03,1.4,0.02,<10,20,<0.05,132,0.04,0.02,6.81,0.8,10,<0.05,1970,0.83,0.4,<0.05,<0.02,<0.01,0.377,0.02,3.2,0.2,0.01,170,3.18,<0.01,0.2,3.2,80,184,1.1,<0.001,0.02,0.48,0.1,4.9,0.4,3.8,<0.01,1.91,0.3,<0.005,<0.02,0.23,2,<0.05,0.65,5,<0.5
16.0,RCH/027,494435,2138652,0.03,,0.24,0.17,15.5,0.02,<10,210,0.13,35.7,0.07,0.02,35.1,2.3,13,<0.05,34.5,1.49,1.29,<0.05,0.03,<0.01,0.045,0.02,14.7,0.3,0.01,344,5.27,<0.01,1.33,6.7,70,6,1.3,<0.001,0.05,0.45,0.4,0.3,0.3,11.8,<0.01,0.24,1.6,<0.005,0.02,1.5,6,0.05,3.86,10,0.9
17.0,RCH/028,494363,2138771,0.01,,0.2,0.15,6.9,<0.02,<10,100,0.63,1.91,0.12,0.07,9.42,5.3,13,<0.05,52.8,3.75,1.42,<0.05,0.02,0.01,0.066,0.03,6.9,0.3,0.02,512,5.41,<0.01,0.79,10,130,5.5,1.2,<0.001,0.03,0.51,2,0.4,0.4,11.1,<0.01,0.05,0.4,<0.005,0.04,1.27,31,0.08,6.01,77,0.8
18.0,RCH/029,494266,2138842,<0.01,,0.22,0.12,5.4,<0.02,<10,100,0.59,1.73,0.16,0.14,16.8,6.6,11,<0.05,122,3.79,1.23,<0.05,0.03,0.01,0.229,0.01,8.8,0.3,0.02,563,1.37,<0.01,0.42,20.1,140,6.6,0.6,<0.001,0.04,0.36,3.5,<0.2,0.4,8.7,<0.01,0.09,0.5,<0.005,0.03,1.31,33,0.09,5.76,73,0.9
19.0,RCH/030,494835,2137461,<0.01,,0.19,0.07,1.6,<0.02,<10,30,0.18,4.01,0.06,0.02,12.2,1.8,10,<0.05,5.8,1.11,0.74,<0.05,0.02,0.01,0.018,0.02,5.3,0.2,0.01,204,0.94,<0.01,0.55,4.3,50,5.7,1,<0.001,0.03,0.14,0.3,0.4,0.2,3.4,<0.01,0.25,0.7,<0.005,<0.02,0.48,10,0.05,1.89,18,0.8
20.0,RCH/031,495380,2137000,<0.01,,0.06,0.14,10.4,<0.02,<10,130,0.39,0.1,0.13,0.05,22.3,3.8,20,0.05,9.6,2.06,1.22,<0.05,0.04,<0.01,0.025,0.06,11.1,0.5,0.02,663,8.14,0.01,0.54,10.9,130,8,2.9,<0.001,0.03,0.95,2,0.2,0.5,8.7,<0.01,0.04,1.9,<0.005,0.06,1.68,12,0.08,12.55,65,1.2
21.0,RCH/032,495571,2137004,<0.01,,0.01,0.19,0.4,<0.02,<10,50,<0.05,0.02,0.09,0.01,0.69,0.4,4,0.05,2,0.19,0.39,<0.05,<0.02,<0.01,<0.005,0.21,0.4,0.2,<0.01,56,0.19,0.02,0.16,1.5,10,3.4,4.9,<0.001,<0.01,<0.05,0.1,0.2,<0.2,7,<0.01,0.01,<0.2,<0.005,0.03,0.17,<1,<0.05,0.72,<2,<0.5
22.0,RCH/033,495582,2137054,<0.01,,0.06,0.17,7.3,<0.02,<10,260,0.23,0.18,0.18,0.04,22.5,2.3,20,0.1,7.5,1.23,1.05,<0.05,0.05,0.01,0.029,0.05,11.1,0.4,0.02,423,4.72,<0.01,0.66,7.2,170,3.8,2.9,<0.001,0.04,0.47,1.8,<0.2,0.3,16.9,<0.01,0.04,1.8,<0.005,0.03,1.68,9,0.05,11,23,1.7
23.0,RCH/034,495345,2137207,0.02,,0.95,0.03,2.3,0.02,<10,50,0.25,38.9,0.05,0.1,24.1,4.1,10,<0.05,30.2,2.37,0.4,<0.05,<0.02,<0.01,0.086,0.01,12.2,0.2,0.01,801,0.98,<0.01,0.13,3.9,50,14,0.6,<0.001,<0.01,0.16,0.3,0.3,0.2,4.8,<0.01,0.06,1,<0.005,0.02,0.35,14,0.2,1.89,38,<0.5
24.0,RCH/035,495374,2137239,<0.01,,0.02,0.12,1.6,<0.02,<10,30,0.26,0.09,0.06,0.08,34.4,2.7,9,<0.05,18.7,1.55,0.85,<0.05,0.02,<0.01,0.022,0.03,16.1,0.2,0.01,337,0.94,<0.01,0.17,5,40,1.3,0.9,<0.001,0.01,0.06,1.2,<0.2,0.4,4.4,<0.01,0.05,1.5,<0.005,0.03,0.4,11,0.05,4.64,33,0.5
25.0,RCH/036,494069,2139558,<0.01,,<0.01,0.06,0.7,<0.02,<10,10,0.08,0.06,0.08,0.02,1.5,6.8,8,<0.05,11.7,0.88,0.34,<0.05,<0.02,<0.01,<0.005,0.01,0.7,0.3,0.01,160,0.53,<0.01,0.52,4.3,40,0.7,0.4,<0.001,<0.01,0.06,0.9,<0.2,<0.2,2.2,<0.01,0.02,0.2,<0.005,<0.02,0.35,11,<0.05,1.83,6,<0.5
26.0,RCH/037,494047,2139600,0.05,,6.42,0.03,18.5,0.06,<10,20,0.16,115,0.06,0.05,4.09,2.7,12,<0.05,83.2,2.34,0.42,<0.05,<0.02,<0.01,0.051,0.01,2.3,0.1,0.01,209,1.21,<0.01,0.15,4.4,60,58.8,0.2,<0.001,0.01,0.48,0.3,0.4,0.4,3.8,<0.01,0.23,0.2,<0.005,<0.02,0.35,10,0.07,0.8,35,<0.5
27.0,RCH/119,495599,2136707,0.14,,0.13,0.1,9.9,0.02,<10,60,0.26,0.92,0.07,0.06,5.24,5.5,21,<0.05,39.7,3.11,0.79,<0.05,0.03,<0.01,0.118,0.02,2.6,0.1,0.01,356,2.49,<0.01,0.17,9.5,60,9.6,0.9,<0.001,0.03,0.47,2.7,0.6,0.4,8.9,<0.01,<0.01,0.9,<0.005,<0.02,0.77,24,0.11,2.48,20,1.3
28.0,RCH/120,495594,2136740,<0.01,,0.03,0.15,8.4,<0.02,<10,110,0.66,0.04,0.09,0.28,12.7,41.9,12,<0.05,7.8,10.6,0.78,0.1,0.02,0.01,0.453,0.09,5.7,0.3,0.04,2110,6.73,<0.01,0.08,44.5,80,7.5,2.7,<0.001,<0.01,0.16,7.4,0.7,0.2,7.7,<0.01,0.01,1.6,<0.005,0.07,2.31,36,0.22,8.89,204,0.8
29.0,RCH/121,495596,2136796,<0.01,,0.01,0.04,0.3,<0.02,<10,10,0.06,0.02,0.03,0.02,1.44,0.5,6,<0.05,1.2,0.65,0.25,0.07,<0.02,0.01,<0.005,0.01,0.8,0.2,0.01,137,0.32,<0.01,0.46,1.5,30,1.1,0.5,<0.001,<0.01,<0.05,0.2,<0.2,<0.2,1.6,0.01,0.02,<0.2,<0.005,<0.02,0.53,1,0.05,0.84,7,<0.5
30.0,RCH/122,495575,2136351,0.69,,2.22,0.09,16.6,2.18,<10,40,0.32,26.1,0.05,0.74,9.22,6,14,<0.05,85.4,3.51,0.72,0.09,0.03,<0.01,0.449,0.02,4,0.2,0.01,763,4.57,0.01,0.18,11.4,60,249,1.2,0.001,0.01,1.04,2,0.5,0.6,5.4,<0.01,0.32,0.8,<0.005,0.07,0.91,17,0.09,1.93,103,1.1
31.0,RCH/123,495599,2136690,2.7,,6.96,0.12,278,5.51,<10,40,0.85,4.09,0.04,0.34,3.52,12.9,9,<0.05,552,8.19,0.61,0.14,0.03,0.01,0.543,0.02,1.9,0.2,0.01,230,3.93,<0.01,<0.05,71.7,190,31.2,0.6,<0.001,0.02,0.56,0.9,15.3,1,23.3,<0.01,0.73,0.3,<0.005,<0.02,1.79,24,0.28,2.41,104,1.5
32.0,RCH/124,495395,2137023,0.01,,0.19,0.04,3.2,<0.02,<10,60,0.27,1.82,0.03,0.1,5.02,1.9,9,<0.05,6.5,3.08,0.39,0.08,<0.02,0.01,0.087,0.02,2.4,0.3,0.02,1140,0.66,<0.01,0.28,2.9,40,5.7,0.9,<0.001,<0.01,0.07,0.4,<0.2,<0.2,6.1,<0.01,0.01,0.3,<0.005,0.02,0.41,13,0.11,1.96,29,<0.5
33.0,RCH/125,495386,2137052,0.03,,5.49,0.02,7.8,0.04,<10,20,0.14,133,0.04,0.1,4.28,2.8,11,<0.05,35,5.45,0.26,0.08,<0.02,0.01,0.225,0.01,1.5,0.1,0.01,359,1.32,<0.01,0.08,4,30,149,0.2,<0.001,0.01,0.22,0.6,<0.2,0.3,2.1,<0.01,0.28,<0.2,<0.005,<0.02,0.48,10,0.07,2.15,69,<0.5
34.0,RCH/126,495390,2137069,0.02,,0.18,0.03,6.8,0.03,<10,40,0.27,3.3,0.07,0.08,11.65,2.8,13,<0.05,22.3,4.19,0.32,0.08,<0.02,0.01,0.161,0.02,5.5,0.2,0.01,829,0.93,<0.01,0.09,4,40,7,0.5,<0.001,0.01,0.17,0.6,<0.2,0.3,5.9,<0.01,0.03,0.7,<0.005,<0.02,0.35,8,0.12,1.39,28,<0.5
35.0,RCH/127,495368,2137104,0.47,,0.19,0.03,118,0.24,<10,20,0.22,1.07,0.03,0.14,15.45,2.2,8,<0.05,51.7,3.93,0.5,0.09,<0.02,0.01,0.051,<0.01,7,0.1,0.01,179,0.81,<0.01,0.11,2.7,210,12.1,0.2,<0.001,0.01,0.12,0.3,0.3,0.3,6.6,<0.01,0.04,1,<0.005,<0.02,0.21,14,0.09,1.15,17,0.5
36.0,RCH/128,495354,2137133,<0.01,,0.75,0.02,2.1,<0.02,<10,10,<0.05,5.75,0.03,0.02,2.03,1,13,<0.05,5.4,1.01,0.19,0.06,<0.02,0.01,0.014,0.01,0.9,0.3,<0.01,214,0.56,<0.01,<0.05,2.9,30,11.1,0.4,<0.001,<0.01,0.08,0.2,<0.2,0.3,2.1,<0.01,0.02,<0.2,<0.005,<0.02,<0.05,2,0.07,0.39,5,<0.5
37.0,RCH/129,495333,2137165,0.01,,0.46,0.02,4.8,<0.02,<10,10,0.06,1.03,0.02,0.01,9.42,0.7,11,<0.05,3.8,0.75,0.25,0.06,<0.02,0.01,<0.005,0.01,4.3,0.1,<0.01,155,0.38,<0.01,0.06,2.2,30,10,0.3,<0.001,0.01,0.05,0.1,<0.2,<0.2,4.1,<0.01,0.01,0.6,<0.005,<0.02,0.07,3,<0.05,0.47,3,<0.5
