Serial No,Lab ID,Feild ID,Au,Au Check,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
1.0,An7.TR1.G1,G/051,0.08,,0.28,0.12,7.6,0.06,<10,130,0.83,1.29,0.09,0.12,74.5,8.3,8,<0.05,16.9,7.27,1.04,0.09,0.02,<0.01,0.262,0.06,37.8,0.5,0.03,1850,0.9,<0.01,0.22,3.9,380,8.6,2.1,<0.001,0.01,0.16,1.4,0.3,0.3,24.9,<0.01,0.01,4.2,<0.005,0.03,0.94,35,0.19,11.75,39,0.6
2.0,An7.TR1.G2,G/052,0.05,,0.49,0.1,12.4,0.03,<10,100,0.34,1.09,0.07,0.06,83,4.2,14,<0.05,8.8,1.82,0.85,0.06,0.03,0.01,0.039,0.06,38.8,0.5,0.01,789,0.8,<0.01,0.16,4.4,260,42.3,2.1,<0.001,0.01,0.11,0.8,0.2,0.3,14.8,<0.01,<0.01,5,<0.005,0.02,0.49,22,0.12,7.96,16,1.2
3.0,An7.TR2.G1,G/053,6.37,,3.17,0.32,483,5.46,<10,80,2.11,9.03,0.08,0.81,45.1,39.9,11,0.05,49.5,17.8,2.86,0.09,0.04,0.03,0.149,0.07,23.9,0.5,0.04,472,5.86,0.02,0.37,7.9,1380,118.5,1.6,<0.001,0.14,0.44,1.6,2.1,0.5,161,0.01,0.29,4.6,<0.005,<0.02,3.52,149,0.23,10.5,149,1.4
4.0,An7.TR2.G2,G/054,<0.01,,0.04,0.02,1.8,<0.02,<10,20,0.07,0.64,0.03,0.03,1.5,1,14,<0.05,5.7,1.03,0.2,<0.05,<0.02,<0.01,0.014,0.01,0.6,0.1,0.01,277,0.68,<0.01,0.05,3.4,20,2.6,0.4,<0.001,0.01,0.07,0.1,<0.2,0.3,1.9,<0.01,<0.01,<0.2,<0.005,<0.02,0.08,3,0.07,0.53,5,<0.5
5.0,An7.TR2.G3,G/055,0.01,,0.03,0.03,0.9,<0.02,<10,10,0.05,0.03,0.02,0.02,1.64,0.8,10,<0.05,3.8,0.63,0.25,<0.05,<0.02,0.01,0.005,0.02,0.8,0.2,0.01,123,0.49,<0.01,0.09,2.8,20,0.5,0.7,<0.001,0.01,0.06,0.1,<0.2,0.2,1.3,<0.01,<0.01,<0.2,<0.005,<0.02,0.06,2,0.05,0.55,3,<0.5
6.0,An7.TR3.G1,G/056,0.06,,4.17,0.17,16,0.06,<10,80,0.83,77.3,0.04,0.15,41.4,6.9,7,<0.05,62.1,4.18,1.7,<0.05,0.04,0.01,0.125,0.07,21,0.5,0.02,545,2.67,<0.01,0.8,4.5,60,158.5,2.9,<0.001,0.02,0.37,0.9,0.4,0.3,8.1,0.01,0.91,2.1,<0.005,0.04,0.79,29,0.21,6.62,90,1.4
7.0,An7.TR3.G2,G/057,0.14,,0.56,0.18,6,0.08,<10,80,0.43,3.04,0.02,0.05,32.6,3.9,10,<0.05,45.2,2.36,1.01,<0.05,0.02,0.01,0.074,0.15,15.9,0.6,0.01,529,0.98,<0.01,0.76,4.1,40,20,4.5,<0.001,0.01,0.09,0.5,<0.2,0.4,9.2,0.01,0.02,1.9,<0.005,0.03,0.65,7,0.13,4.6,20,0.6
8.0,An7.TR3.G3,G/058,0.04,,0.22,0.21,2,0.02,<10,240,1.26,13.85,0.05,0.23,28.6,6.4,14,0.06,29.9,6.36,1.4,0.05,0.03,<0.01,0.235,0.12,19.9,1.2,0.04,2170,1.66,0.01,0.45,8.5,40,63.1,4.2,<0.001,0.01,0.18,1.8,<0.2,0.4,20.1,0.01,0.12,1.2,0.005,0.09,1.03,38,0.14,9.86,96,0.9
9.0,An7.TR5.G1,G/059,0.01,,0.06,0.22,9.2,<0.02,<10,100,0.56,0.26,0.03,0.22,20.5,11.8,12,0.05,13.5,4.79,1.26,<0.05,0.04,<0.01,0.084,0.06,8,0.3,0.02,1060,2.91,<0.01,0.08,13.9,60,10.2,2.5,<0.001,0.01,0.72,4.5,0.2,<0.2,14.4,<0.01,0.02,2.8,0.005,0.06,1.21,36,0.16,5.4,78,1.6
10.0,An7.TR5.G2,G/060,0.02,,0.09,0.21,13.6,<0.02,<10,80,0.61,0.27,0.05,0.14,21.5,18.3,13,<0.05,32.7,4.24,1.47,<0.05,0.06,0.01,0.076,0.07,10,0.6,0.02,731,7.41,0.01,0.17,24.7,80,8.1,3.8,<0.001,0.01,0.6,6.1,0.4,0.5,6.5,<0.01,0.03,3,<0.005,0.07,1.64,37,0.12,14.5,127,1.8
11.0,An7.TR5.G3,G/061,0.02,,0.08,0.26,22.3,0.02,<10,110,0.86,0.38,0.04,0.41,21.8,20.9,14,<0.05,29.1,6.34,1.73,<0.05,0.04,0.01,0.162,0.04,8.9,0.4,0.02,1550,4.45,0.01,0.15,27.1,80,15.7,1.8,<0.001,0.01,0.68,6.9,<0.2,0.3,13.8,<0.01,0.02,2.4,0.006,0.05,1.48,49,0.27,7.84,135,1.8
12.0,An7.TR6.G1,G/062,0.97,,0.2,0.14,21.5,0.46,<10,100,0.33,1.51,0.03,0.05,15.8,7.1,11,<0.05,13.5,2.3,0.82,<0.05,0.04,<0.01,0.043,0.04,6.6,0.3,0.01,483,1.82,<0.01,0.28,7.9,50,10,1.7,<0.001,0.02,0.2,2.3,0.4,<0.2,4.9,<0.01,0.02,2.3,<0.005,0.02,0.65,22,0.11,4.34,24,1.6
13.0,An7.TR6.G2,G/063,0.01,,0.09,0.29,20.8,<0.02,<10,100,1,0.35,0.08,0.15,14.85,25.5,21,0.06,25.6,7.09,1.89,<0.05,0.09,<0.01,0.074,0.06,6.3,0.7,0.02,1120,7.72,<0.01,0.29,34,370,9.1,3.8,<0.001,0.01,0.94,9.7,0.2,0.6,20.5,<0.01,0.01,2.1,0.006,0.08,2.33,63,0.19,13.85,83,3.9
14.0,An7.TR6.G3,G/065,0.01,,0.11,0.2,8.6,<0.02,<10,60,0.45,0.18,0.03,0.05,19.75,12.5,14,0.08,8.7,2.85,1.05,<0.05,0.05,0.01,0.045,0.08,8.7,0.4,0.02,520,2.68,<0.01,0.26,15.9,90,7.2,2.9,<0.001,0.01,0.2,4,<0.2,0.2,30.5,<0.01,0.01,2.4,<0.005,0.04,1.18,30,0.09,6.65,53,1.6
15.0,An7.TR7.G1,G/066,0.03,,0.06,0.05,14.6,0.04,<10,10,0.13,0.28,0.01,0.03,4.33,1.4,11,<0.05,17.9,1.42,0.55,<0.05,0.02,<0.01,0.037,0.01,2.1,0.1,<0.01,143,1.62,<0.01,0.13,3.9,30,4.5,0.9,<0.001,0.02,0.48,0.7,0.6,0.3,3.1,<0.01,0.01,0.8,<0.005,<0.02,0.31,6,0.06,0.75,10,0.8
16.0,An7.TR7.G2,G/067,0.01,,0.02,0.08,0.6,<0.02,<10,20,0.09,0.03,0.01,0.02,11.1,1.7,11,<0.05,12.2,0.87,0.39,<0.05,<0.02,0.01,0.016,0.03,4.5,0.1,<0.01,193,0.56,<0.01,<0.05,3.7,20,0.9,1.1,<0.001,0.01,0.05,0.7,<0.2,0.2,2.3,<0.01,<0.01,1.6,<0.005,<0.02,0.63,4,0.05,2.3,5,<0.5
17.0,An7.TR7.G3,G/068,<0.01,,0.01,0.06,0.3,<0.02,<10,10,0.05,0.01,0.02,<0.01,4.33,0.6,8,<0.05,1.7,0.64,0.38,<0.05,<0.02,<0.01,<0.005,0.03,0.7,0.2,<0.01,99,0.34,<0.01,<0.05,1.6,10,0.6,1.4,<0.001,0.01,<0.05,0.2,<0.2,<0.2,1.2,<0.01,<0.01,0.3,<0.005,<0.02,0.2,2,<0.05,0.52,2,<0.5
18.0,An7.TR8.G1,G/069,<0.01,,0.01,0.23,2.8,<0.02,<10,30,0.41,0.23,0.02,0.02,60.6,4.9,7,0.05,10.4,1.54,1.37,0.05,0.05,<0.01,0.023,0.08,30.7,0.7,0.01,183,7.62,<0.01,0.15,8.5,60,3.4,4.4,<0.001,0.01,0.18,1.6,<0.2,0.4,5.1,<0.01,0.02,11.6,<0.005,0.03,0.79,9,<0.05,8.49,32,1.6
